image_id,label,split,w,h,ink_h,stroke,angle,stroke_rel
tHpqlCor.png,lontara,train,942,49,49,5.656854249492381,0.0,0.11544600509168124
B494gp8Z.png,jawa,train,813,81,81,2.0,0.0,0.024691358024691357
rJZQjxc0.png,jawi,train,440,53,53,5.656854249492381,0.0,0.10673309904702605
hO9fOUhw.png,sunda,train,124,58,49,4.47213595499958,,0.09126808071427714
Q4K6YjCj.png,sunda,train,791,76,65,4.47213595499958,0.0,0.06880209161537815
PbvtXzAF.png,lontara,train,944,54,52,5.656854249492381,0.0,0.10878565864408424
bvZgcoNn.png,jawi,train,800,81,81,7.211102550927978,0.0,0.08902595741886393
vrNJOkCG.png,jawa,train,968,94,94,4.47213595499958,0.0,0.04757591441488915
qzpRIEtV.png,jawa,train,684,85,85,2.0,-1.0,0.023529411764705882
305fGZ3w.png,jawi,train,189,71,71,4.0,,0.056338028169014086
oV1rqiki.png,sunda,train,328,58,46,4.0,-1.0,0.08695652173913043
efsCVAXh.png,jawi,train,376,62,60,4.0,0.0,0.06666666666666667
SZlo4nAd.png,lontara,train,940,50,50,5.656854249492381,0.0,0.1131370849898476
Odiwgs3f.png,jawi,train,784,76,76,6.0,0.0,0.07894736842105263
XnmCJESw.png,pegon,train,181,154,154,4.0,,0.025974025974025976
3YX19rhG.png,pegon,train,638,88,88,6.0,1.0,0.06818181818181818
HRCr8t7l.png,pegon,train,139,108,108,4.0,,0.037037037037037035
jYTQSpdW.png,bali,train,1237,77,77,4.0,-1.0,0.05194805194805195
7E48jzhq.png,lontara,train,935,52,48,6.0,0.0,0.125
TVGT0l15.png,lampung,train,143,36,31,4.0,-5.0,0.12903225806451613
brPaEeqP.png,lontara,train,776,52,52,4.47213595499958,0.0,0.08600261451922268
GmuReuLR.png,sunda,train,153,137,135,2.0,,0.014814814814814815
GsOT0T5x.png,lampung,train,191,78,67,4.0,,0.05970149253731343
5rjyLVjM.png,sunda,train,216,65,40,4.0,0.0,0.1
zserujX8.jpg,bali,train,1280,720,718,6.324555320336759,,0.008808572869549804
ULOLP0Ie.png,sunda,train,245,42,34,4.0,0.0,0.11764705882352941
tzoxINik.png,jawi,train,676,52,52,5.656854249492381,0.0,0.10878565864408424
SWmX6WTA.png,lontara,train,936,52,52,4.47213595499958,0.0,0.08600261451922268
UmCiBs0K.png,jawi,train,284,60,53,4.0,0.0,0.07547169811320754
qRtpcq8R.png,lampung,train,201,81,81,2.8284271247461903,,0.034918853391928274
sEWlF4GG.png,jawa,train,603,91,91,2.0,0.0,0.02197802197802198
kg4W1LjT.png,jawa,train,944,96,92,4.0,-1.0,0.043478260869565216
gEPhuYHT.png,jawi,train,175,82,76,5.656854249492381,,0.0744322927564787
VwBH4U2s.png,jawa,train,162,58,41,4.0,,0.0975609756097561
WdbxpsD0.png,lontara,train,812,69,69,4.0,-1.0,0.057971014492753624
c5qAky23.png,sunda,train,77,40,22,4.0,,0.18181818181818182
E7eISFeD.png,jawi,train,806,83,83,8.0,-1.0,0.0963855421686747
sQzD0xtD.png,bali,train,218,78,74,2.8284271247461903,,0.03822198817224581
au9mLbd8.png,jawi,train,92,45,42,6.0,,0.14285714285714285
Pr22tEu7.jpg,pegon,train,600,400,400,2.8284271247461903,,0.007071067811865475
nY3i2PTt.png,bali,train,1548,56,56,4.0,0.0,0.07142857142857142
KxxJsUIA.png,bali,train,1409,59,57,4.0,0.0,0.07017543859649122
e5T265XU.png,pegon,train,126,111,111,4.0,,0.036036036036036036
92Scn6vQ.png,bali,train,1402,61,61,2.8284271247461903,0.0,0.046367657782724434
feSarHT2.png,pegon,train,384,90,90,6.0,0.0,0.06666666666666667
XDdeBeL4.png,sunda,train,832,70,62,4.0,-1.0,0.06451612903225806
R7Hd50RH.png,lampung,train,126,31,31,4.0,-4.0,0.12903225806451613
vZh1HlrP.png,pegon,train,201,159,155,4.0,,0.025806451612903226
NTvU9OQs.png,jawi,train,810,101,100,6.0,0.0,0.06
N8Bs9W3h.png,bali,train,1545,66,66,4.0,0.0,0.06060606060606061
F53YDFQs.png,lontara,train,928,54,53,4.47213595499958,0.0,0.08437992367923736
kFuOywWA.png,jawi,train,79,49,26,4.0,,0.15384615384615385
Z1un6yl6.png,lontara,train,937,47,46,7.211102550927978,0.0,0.1567630989332169
jUXNviVX.png,jawi,train,956,83,66,4.0,0.0,0.06060606060606061
mh4YpTLf.png,sunda,train,798,89,78,2.8284271247461903,-1.0,0.03626188621469475
ozj6KCYP.png,bali,train,1377,71,68,2.8284271247461903,0.0,0.04159451654038515
1pFJnWNU.png,jawi,train,51,50,28,4.0,,0.14285714285714285
g6icPNYH.png,lontara,train,951,50,47,4.47213595499958,0.0,0.0951518288297783
bGRWCsTu.png,jawa,train,825,82,82,4.47213595499958,-1.0,0.05453824335365341
dCSSepmf.png,bali,train,233,80,74,2.8284271247461903,,0.03822198817224581
V9zZHbxx.png,lontara,train,417,66,66,4.47213595499958,-3.0,0.06775963568181181
9RppdSnF.png,lontara,train,922,35,35,5.656854249492381,1.0,0.16162440712835374
AOntxfbJ.png,pegon,train,185,170,170,4.47213595499958,,0.02630668208823282
UW8zRXPQ.png,jawi,train,453,53,53,4.47213595499958,-1.0,0.08437992367923736
YapID8rH.png,jawa,train,566,57,57,4.0,0.0,0.07017543859649122
iLTzTF1l.png,jawi,train,118,83,72,6.0,,0.08333333333333333
dqBT88Ps.png,jawi,train,23,33,24,4.0,,0.16666666666666666
UFE3w0yF.png,bali,train,1083,64,63,4.0,0.0,0.06349206349206349
FPktjVik.png,pegon,train,155,148,148,4.0,,0.02702702702702703
ciJA1mjW.png,jawa,train,90,78,56,4.0,,0.07142857142857142
t70ANyVM.png,bali,train,1370,70,70,2.8284271247461903,-1.0,0.040406101782088436
wTOJkzj8.png,jawa,train,933,77,75,5.656854249492381,-1.0,0.07542472332656508
NGSYgYgV.png,sunda,train,150,63,57,4.0,,0.07017543859649122
nxOWgGHf.jpg,bali,train,259,194,191,2.0,,0.010471204188481676
MzfJHQdz.png,lontara,train,940,53,53,4.0,-1.0,0.07547169811320754
mASmqPJv.png,jawi,train,216,61,61,4.47213595499958,-2.0,0.07331370418032097
FD30O9tB.png,jawa,train,1013,121,117,4.47213595499958,-1.0,0.038223384230765635
sntQGqx6.png,bali,train,121,75,49,2.8284271247461903,,0.05772300254584062
iPc57tQw.png,jawi,train,956,64,63,4.0,0.0,0.06349206349206349
JlEpM3oC.png,bali,train,1352,66,66,2.8284271247461903,-1.0,0.04285495643554834
nAkbUt21.png,jawi,train,66,53,48,4.47213595499958,,0.09316949906249124
j1hLG7kG.png,lampung,train,232,81,75,4.0,,0.05333333333333334
Yk674FLr.png,sunda,train,44,54,29,6.324555320336759,,0.218088114494371
WswN2D8a.png,pegon,train,146,132,132,4.0,,0.030303030303030304
GjVx3hcd.png,pegon,train,169,161,161,4.0,,0.024844720496894408
AlMtohM9.jpg,jawi,train,1088,1316,1316,4.0,,0.00303951367781155
i1j3gXwa.png,pegon,train,141,142,142,4.0,,0.028169014084507043
jxh6yxyy.jpg,lontara,train,568,621,621,2.8284271247461903,,0.004554633051121079
ZzLibL3o.png,jawi,train,891,77,75,4.0,-1.0,0.05333333333333334
TT2py3po.png,jawa,train,917,73,72,4.0,0.0,0.05555555555555555
tuGKcLTO.png,pegon,train,101,93,51,8.246211251235321,,0.16169041669088866
ejB5lV79.png,jawa,train,591,71,71,4.0,0.0,0.056338028169014086
MQDWdzQd.png,jawi,train,23,28,23,4.0,,0.17391304347826086
lM3588zD.png,jawi,train,24,27,22,4.0,,0.18181818181818182
jxxuZl8a.png,sunda,train,748,70,43,6.0,0.0,0.13953488372093023
dsMBZPzT.png,sunda,train,166,58,55,4.0,,0.07272727272727272
xXH0p0da.png,sunda,train,801,46,37,4.0,0.0,0.10810810810810811
ODoFxn0s.png,jawa,train,879,60,57,4.0,0.0,0.07017543859649122
LLZtcVWL.png,bali,train,317,76,66,4.0,0.0,0.06060606060606061
xoBMTnSE.png,jawa,train,869,83,83,4.0,-1.0,0.04819277108433735
HC8XBClO.png,lampung,train,377,85,81,4.0,-4.0,0.04938271604938271
QpAYjE7a.png,bali,train,88,75,50,2.0,,0.04
sA9afht9.png,jawa,train,497,75,75,2.0,0.0,0.02666666666666667
p5adqFyu.png,sunda,train,834,78,70,4.0,-1.0,0.05714285714285714
BicxDosj.png,lontara,train,310,49,43,7.211102550927978,0.0,0.16770005932390647
oteXEBir.png,pegon,train,148,133,133,4.0,,0.03007518796992481
GWcehJAP.png,sunda,train,76,54,53,4.0,,0.07547169811320754
L3S94zx2.png,sunda,train,44,54,31,6.0,,0.1935483870967742
AxZ5sTvi.png,jawa,train,677,96,90,4.47213595499958,0.0,0.049690399499995326
pzzBFip4.png,jawi,train,269,65,60,4.0,0.0,0.06666666666666667
UZCz3Tc9.png,jawi,train,951,80,73,4.0,-1.0,0.0547945205479452
Uwt2QK3l.png,jawi,train,806,90,90,6.0,1.0,0.06666666666666667
snVEL8LD.png,bali,train,1412,59,59,4.0,0.0,0.06779661016949153
l6Hef28r.png,jawi,train,91,62,60,4.0,,0.06666666666666667
loTKHqLn.png,jawi,train,660,93,92,4.47213595499958,0.0,0.04861017342390848
vdLe81Di.png,jawi,train,381,66,66,2.0,0.0,0.030303030303030304
WhdB3FSi.png,jawa,train,115,84,50,4.47213595499958,,0.08944271909999159
XRspxxB1.png,jawi,train,828,80,80,6.0,0.0,0.075
6IRZgMuD.png,lontara,train,805,58,58,4.47213595499958,-1.0,0.07710579232757896
nXqKCOKa.png,bali,train,1421,58,58,4.0,0.0,0.06896551724137931
Gx7JCcSL.png,jawi,train,266,55,43,4.0,0.0,0.09302325581395349
f6fRApLW.png,sunda,train,44,54,29,6.0,,0.20689655172413793
EaGEhyHL.png,jawi,train,789,74,74,6.324555320336759,0.0,0.08546696378833459
qZBSLty4.png,lontara,train,962,51,51,5.656854249492381,0.0,0.1109187107743604
3gdGLyyS.png,bali,train,1409,64,64,2.8284271247461903,-1.0,0.04419417382415922
bRpq18iJ.png,jawi,train,807,73,73,7.211102550927978,0.0,0.09878222672504079
lp1In676.jpg,lampung,train,1000,370,370,2.0,,0.005405405405405406
bo21nCpd.png,sunda,train,768,101,66,5.656854249492381,-1.0,0.08570991287109668
NA2mW6MM.png,sunda,train,71,54,40,4.0,,0.1
FgzMhPjr.png,jawi,train,91,62,26,4.0,,0.15384615384615385
DLSJox4o.png,jawa,train,108,90,90,4.47213595499958,,0.049690399499995326
yu3XZe48.png,jawa,train,1012,61,61,4.0,0.0,0.06557377049180328
rTnbMuPc.png,bali,train,135,65,65,2.0,,0.03076923076923077
s4uPNwXr.png,lontara,train,943,57,46,5.656854249492381,0.0,0.12297509238026914
ExoD4vP2.png,jawi,train,687,85,85,5.656854249492381,0.0,0.06655122646461624
WGC3HdHJ.png,lontara,train,943,53,52,5.656854249492381,0.0,0.10878565864408424
13j6YVfp.png,lontara,train,935,50,49,5.656854249492381,0.0,0.11544600509168124
A4CGGZsR.png,jawi,train,155,102,97,7.60555127546399,,0.07840774510787618
Qb0WFKYF.png,jawi,train,959,68,67,4.0,0.0,0.05970149253731343
uBQ42CXJ.png,sunda,train,710,53,38,4.0,0.0,0.10526315789473684
bmfAMvLs.png,pegon,train,103,98,98,4.0,,0.04081632653061224
kTGitTTZ.png,jawa,train,592,91,91,2.0,0.0,0.02197802197802198
pbGKPZDB.png,lampung,train,325,110,110,4.0,,0.03636363636363636
QosnQx0a.png,sunda,train,47,42,27,4.0,,0.14814814814814814
A3amnqqs.jpg,lampung,train,480,360,360,4.0,,0.011111111111111112
gp4CQMwA.png,lontara,train,866,65,65,4.47213595499958,-1.0,0.06880209161537815
xuPX8psl.png,lontara,train,744,70,70,4.47213595499958,-1.0,0.06388765649999399
9cISqU3p.png,lampung,train,102,36,26,2.8284271247461903,,0.10878565864408424
3vUqiFim.png,jawi,train,389,60,60,4.47213595499958,0.0,0.07453559924999299
lHph2mVk.png,sunda,train,136,56,46,4.0,,0.08695652173913043
ZnCNUFWa.png,jawa,train,365,58,58,2.0,0.0,0.034482758620689655
ZAF7P4TS.png,lampung,train,678,48,41,4.0,0.0,0.0975609756097561
adQMTd4d.png,jawi,train,804,80,80,7.211102550927978,0.0,0.09013878188659973
M1LFLF2f.png,pegon,train,823,72,72,4.0,0.0,0.05555555555555555
zJfN1IUl.png,sunda,train,77,44,31,4.0,,0.12903225806451613
Uv3ZYkHU.png,lampung,train,250,40,32,2.8284271247461903,0.0,0.08838834764831845
ZB89iX5O.png,jawa,train,914,65,65,5.656854249492381,-1.0,0.0870285269152674
HpJV9OF2.png,lampung,train,261,76,76,4.0,-1.0,0.05263157894736842
2Eo65dbo.png,lontara,train,937,51,49,7.211102550927978,0.0,0.14716535818220364
mniEyr50.png,jawi,train,357,47,34,2.0,0.0,0.058823529411764705
Z2aYj4Mb.png,sunda,train,48,38,28,4.0,,0.14285714285714285
lKFokYuI.png,jawa,train,573,53,53,4.0,0.0,0.07547169811320754
DZlkHVVs.jpg,pegon,train,878,460,460,2.0,,0.004347826086956522
UD0troHv.png,lontara,train,951,50,43,5.656854249492381,0.0,0.13155474998819489
JDdQ8TGU.png,lontara,train,950,61,60,6.324555320336759,-1.0,0.10540925533894599
HpHvsaNP.png,sunda,train,56,59,30,6.0,,0.2
8hScNnfh.png,jawi,train,58,53,27,4.0,,0.14814814814814814
lJJD74rc.png,jawi,train,957,69,68,4.0,0.0,0.058823529411764705
DXzY0DKg.png,jawa,train,967,88,88,4.47213595499958,0.0,0.05081972676135886
SLBFk2LV.png,pegon,train,819,73,73,4.0,0.0,0.0547945205479452
hl9Zkp1X.png,bali,train,607,64,64,4.0,-1.0,0.0625
9dyJtrsn.png,lampung,train,522,44,32,4.0,0.0,0.125
EKZ2hjos.png,jawa,train,840,63,63,2.0,0.0,0.031746031746031744
NWuOzl3e.png,pegon,train,196,175,175,4.0,,0.022857142857142857
gJaMXpFS.png,jawa,train,576,58,52,4.0,0.0,0.07692307692307693
IWDWEDhC.png,bali,train,140,79,52,2.8284271247461903,,0.05439282932204212
XW4QHkMM.png,sunda,train,702,76,63,4.47213595499958,0.0,0.07098628499999332
v72v6rHz.png,jawa,train,999,122,108,4.47213595499958,-1.0,0.04140866624999611
ghORLgLJ.png,jawa,train,863,81,81,4.47213595499958,0.0,0.05521155499999481
HWMpicqN.png,bali,train,1455,76,74,2.8284271247461903,-1.0,0.03822198817224581
besjh4lI.png,bali,train,1410,64,64,2.8284271247461903,0.0,0.04419417382415922
Kez87I4J.png,jawa,train,670,58,58,2.0,0.0,0.034482758620689655
t3Ym3TGY.png,bali,train,1414,68,68,2.8284271247461903,-1.0,0.04159451654038515
IEjn8TEX.png,jawa,train,972,64,64,6.0,0.0,0.09375
RHtL6NXw.png,sunda,train,798,42,39,4.0,0.0,0.10256410256410256
t2n4u99T.png,jawi,train,221,43,36,4.0,0.0,0.1111111111111111
YSDnjf8f.png,lampung,train,93,27,27,4.0,0.0,0.14814814814814814
zMOhEC7Z.png,lampung,train,130,37,23,2.8284271247461903,1.0,0.12297509238026914
689030ZS.png,sunda,train,60,55,32,4.0,,0.125
MIUYemUt.png,jawa,train,912,87,87,6.0,-1.0,0.06896551724137931
JaRjy4g9.png,lampung,train,146,81,79,4.0,,0.05063291139240506
yWw2jKLf.png,bali,train,1406,56,56,2.8284271247461903,0.0,0.05050762722761054
sB5nwmQC.png,jawa,train,362,58,58,2.0,0.0,0.034482758620689655
DAgTCtts.png,bali,train,1343,75,75,4.0,-1.0,0.05333333333333334
7fLvnG6h.png,jawi,train,33,32,17,4.47213595499958,,0.2630668208823282
gllNr3XG.png,jawa,train,606,88,88,2.0,0.0,0.022727272727272728
qHmc41kt.png,bali,train,1406,66,66,4.0,0.0,0.06060606060606061
noOwJU2p.png,sunda,train,830,77,57,4.0,-1.0,0.07017543859649122
giNnvjGG.png,lampung,train,898,55,47,4.0,0.0,0.0851063829787234
wDOeDUea.png,lontara,train,886,49,47,6.324555320336759,0.0,0.13456500681567574
A8uMZawH.png,pegon,train,163,150,150,4.0,,0.02666666666666667
mU0VIMOM.jpg,jawi,train,750,469,469,4.0,,0.008528784648187633
fIodXJ1R.png,pegon,train,377,83,83,8.0,0.0,0.0963855421686747
