image_id,label,split,w,h,fmt,ctype,pred_c,pred_x,conf_x
tHpqlCor.png,lontara,train,942,49,PNG,line,4,4,0.9213390189094531
B494gp8Z.png,jawa,train,813,81,PNG,line,1,1,0.8965077298132873
rJZQjxc0.png,jawi,train,440,53,PNG,line,2,2,0.8604383227215486
hO9fOUhw.png,sunda,train,124,58,PNG,line,6,6,0.9018829041658406
Q4K6YjCj.png,sunda,train,791,76,PNG,line,6,6,0.897629455425069
PbvtXzAF.png,lontara,train,944,54,PNG,line,4,4,0.9214483251932797
bvZgcoNn.png,jawi,train,800,81,PNG,line,2,2,0.8871318340091247
vrNJOkCG.png,jawa,train,968,94,PNG,line,1,1,0.7222650739166493
qzpRIEtV.png,jawa,train,684,85,PNG,line,1,1,0.8991178707813807
305fGZ3w.png,jawi,train,189,71,PNG,line,2,2,0.8918699235074699
oV1rqiki.png,sunda,train,328,58,PNG,line,6,6,0.8979439741290843
efsCVAXh.png,jawi,train,376,62,PNG,line,2,2,0.8678953972122552
SZlo4nAd.png,lontara,train,940,50,PNG,line,4,4,0.9226416795372704
Odiwgs3f.png,jawi,train,784,76,PNG,line,2,2,0.891302293716622
XnmCJESw.png,pegon,train,181,154,PNG,block,5,5,0.9240251777720846
3YX19rhG.png,pegon,train,638,88,PNG,line,5,2,0.683481666181347
HRCr8t7l.png,pegon,train,139,108,PNG,block,5,5,0.9321232813994357
jYTQSpdW.png,bali,train,1237,77,PNG,line,0,0,0.9202570367756394
7E48jzhq.png,lontara,train,935,52,PNG,line,4,4,0.9226339220775978
TVGT0l15.png,lampung,train,143,36,PNG,line,3,3,0.9126184731553786
brPaEeqP.png,lontara,train,776,52,PNG,line,4,4,0.9260089246760258
GmuReuLR.png,sunda,train,153,137,PNG,block,6,6,0.898760142342333
GsOT0T5x.png,lampung,train,191,78,PNG,line,3,3,0.9075397512559304
5rjyLVjM.png,sunda,train,216,65,PNG,line,6,6,0.9026377529162746
zserujX8.jpg,bali,train,1280,720,JPEG,page,0,0,0.5728909256668322
ULOLP0Ie.png,sunda,train,245,42,PNG,line,6,6,0.9054663889991692
tzoxINik.png,jawi,train,676,52,PNG,line,2,2,0.8599496486046853
