image_id,label,split,w,h,fmt,ctype,pred_c,pred_x,conf_x,pred,conf,agree,pp_w,pp_h,raw_glyph_h,n_glyphs,v2_scale,v2_glyph_h,zoom_to_line_scale
zserujX8.jpg,bali,train,1280,720,JPEG,page,0.0,0.0,0.5728909256668322,,,,1280,707,22.0,78,0.2263083451202263,4.978783592644978,2.590909090909091
Pr22tEu7.jpg,pegon,train,600,400,JPEG,page,0.0,0.0,0.5787474205202349,,,,600,340,12.0,35,0.47058823529411764,5.647058823529411,4.75
AlMtohM9.jpg,jawi,train,1088,1316,JPEG,page,2.0,2.0,0.5872877046122829,,,,1088,1316,8.0,1603,0.12158054711246201,0.9726443768996961,7.125
jxh6yxyy.jpg,lontara,train,568,621,JPEG,page,4.0,4.0,0.9189677123810148,,,,568,500,14.0,56,0.32,4.48,4.071428571428571
lp1In676.jpg,lampung,train,1000,370,JPEG,page,3.0,3.0,0.930329830328908,,,,1000,370,9.0,225,0.43243243243243246,3.891891891891892,6.333333333333333
A3amnqqs.jpg,lampung,train,480,360,JPEG,page,3.0,3.0,0.9071473661863436,,,,439,245,16.0,92,0.6530612244897959,10.448979591836734,3.5625
DZlkHVVs.jpg,pegon,train,878,460,JPEG,page,5.0,5.0,0.7083532496835191,,,,840,460,10.0,1245,0.34782608695652173,3.4782608695652173,5.7
mU0VIMOM.jpg,jawi,train,750,469,JPEG,page,2.0,2.0,0.715637414481826,,,,750,469,12.5,207,0.3411513859275053,4.264392324093817,4.56
ArLIuehv.png,pegon,train,1521,750,PNG,page,2.0,5.0,0.5017935963044613,,,,1413,750,6.0,406,0.21333333333333335,1.28,9.5
3uZ754oe.jpg,jawa,train,1000,614,JPEG,page,1.0,1.0,0.8919118175377112,,,,982,557,20.0,271,0.2872531418312388,5.745062836624776,2.85
r3tGNzm6.jpg,jawa,train,2834,1223,JPEG,page,1.0,1.0,0.4427429653869843,,,,2834,1223,8.0,303,0.13082583810302534,1.0466067048242027,7.125
pugriEKg.jpg,pegon,train,768,768,JPEG,page,5.0,2.0,0.7526655241588147,,,,768,768,34.5,87,0.20833333333333334,7.1875,1.6521739130434783
VA317cEJ.jpg,pegon,train,677,453,JPEG,page,5.0,5.0,0.886845634126755,,,,677,445,12.0,476,0.3595505617977528,4.314606741573034,4.75
VvWr2DRJ.jpg,pegon,train,1280,720,JPEG,page,2.0,2.0,0.8230322092120732,,,,1280,720,26.0,151,0.2222222222222222,5.777777777777778,2.1923076923076925
VObY0cqk.jpg,pegon,train,1967,1724,JPEG,page,5.0,5.0,0.8740644868453192,,,,1864,1724,16.0,945,0.09280742459396751,1.4849187935034802,3.5625
9QkzJWYC.png,bali,train,864,864,PNG,page,0.0,0.0,0.9310591583386844,,,,570,856,,0,0.18691588785046728,,
isCRUjsC.jpg,pegon,train,1280,734,JPEG,page,2.0,2.0,0.56307146168658,,,,1280,724,13.0,1145,0.22099447513812154,2.87292817679558,4.384615384615385
rEohqrKO.webp,jawa,train,720,447,WEBP,page,1.0,1.0,0.8937263594781548,,,,585,447,7.0,32,0.3579418344519016,2.505592841163311,8.142857142857142
C5R3SyGp.png,jawi,train,49,266,PNG,page,2.0,2.0,0.8371286136531578,,,,49,266,39.0,7,0.6015037593984962,23.45864661654135,1.4615384615384615
H8tMgkXB.png,bali,train,700,663,PNG,page,0.0,0.0,0.9275518436567664,,,,700,651,32.0,99,0.2457757296466974,7.864823348694316,1.78125
JkcwfeWb.jpg,pegon,train,300,445,JPEG,page,5.0,2.0,0.2989666503383861,,,,300,445,9.0,22,0.3595505617977528,3.235955056179775,6.333333333333333
Sq4mQMmX.webp,lampung,train,500,281,WEBP,page,3.0,3.0,0.7539636843454207,,,,447,281,8.0,218,0.5693950177935944,4.555160142348755,7.125
lyRKrF1d.jpg,jawi,train,1200,1690,JPEG,page,5.0,3.0,0.2938175192131096,,,,1200,1690,29.0,297,0.09467455621301775,2.7455621301775146,1.9655172413793103
18Yut8y2.jpg,sunda,train,712,712,JPEG,page,6.0,1.0,0.8423946689886829,,,,507,697,30.0,145,0.22955523672883787,6.886657101865136,1.9
mS2kZ8fi.jpg,bali,train,668,375,JPEG,page,0.0,0.0,0.930412261109006,,,,664,338,8.0,183,0.47337278106508873,3.78698224852071,7.125
J5rUUjOm.jpg,lontara,train,2764,1849,JPEG,page,4.0,4.0,0.9319629048656236,,,,2208,784,52.5,97,0.20408163265306123,10.714285714285715,1.0857142857142856
LbdIIDPH.png,bali,train,1200,700,PNG,page,0.0,0.0,0.9337503223312392,,,,1200,700,43.0,102,0.22857142857142856,9.828571428571427,1.3255813953488371
vIX9hIjR.jpg,pegon,train,640,462,JPEG,page,5.0,5.0,0.9291068632978192,,,,640,462,12.5,108,0.3463203463203463,4.329004329004329,4.56
4cQJzJ58.jpg,pegon,train,1500,1225,JPEG,page,5.0,5.0,0.9244024627500756,,,,1500,1225,8.0,3953,0.1306122448979592,1.0448979591836736,7.125
Ifcb2r4C.jpg,jawa,train,1200,800,JPEG,page,1.0,1.0,0.8644680347352679,,,,1200,800,17.0,440,0.2,3.4000000000000004,3.3529411764705883
cSqToiMa.jpg,bali,train,640,589,JPEG,page,0.0,1.0,0.7891453179254851,,,,640,589,6.0,670,0.27164685908319186,1.6298811544991512,9.5
ZTjt1UNI.jpg,bali,train,393,577,JPEG,page,3.0,0.0,0.6278367591534569,,,,393,577,9.0,236,0.2772963604852686,2.4956672443674175,6.333333333333333
a4jh7wTT.jpg,jawa,train,700,441,JPEG,page,1.0,1.0,0.8993586163173262,,,,675,416,13.0,154,0.38461538461538464,5.0,4.384615384615385
L4cIkqat.jpg,bali,train,1280,1280,JPEG,page,0.0,0.0,0.8730932162234472,,,,1257,889,10.0,99,0.17997750281214847,1.7997750281214846,5.7
DOH3uoeR.jpg,bali,train,640,480,JPEG,page,0.0,1.0,0.8325101933312775,,,,640,480,17.0,51,0.3333333333333333,5.666666666666666,3.3529411764705883
lPJpDgwW.jpg,bali,train,1200,675,JPEG,page,0.0,1.0,0.4933803684161888,,,,1194,675,6.0,498,0.23703703703703705,1.4222222222222223,9.5
Vz1nxIKv.png,jawi,train,700,446,PNG,page,2.0,5.0,0.8658445349033739,,,,700,446,9.0,80,0.35874439461883406,3.2286995515695067,6.333333333333333
BH0R4c3B.jpg,bali,train,735,463,JPEG,page,0.0,0.0,0.935825028182264,,,,698,397,31.0,67,0.40302267002518893,12.493702770780857,1.8387096774193548
vgRH3hfk.webp,lontara,train,720,565,WEBP,page,4.0,4.0,0.9217425458149622,,,,544,565,16.0,72,0.2831858407079646,4.530973451327434,3.5625
FPo8eKNu.webp,jawa,train,1280,720,WEBP,page,1.0,1.0,0.9028591500599418,,,,1234,577,43.0,62,0.2772963604852686,11.92374350086655,1.3255813953488371
v0eRKhNN.jpg,lontara,train,750,500,JPEG,page,5.0,5.0,0.6711224911996756,,,,750,500,13.0,226,0.32,4.16,4.384615384615385
p1nlqTvi.jpg,jawi,train,742,1080,JPEG,page,2.0,2.0,0.7931187437299018,,,,742,1080,7.0,1047,0.14814814814814814,1.037037037037037,8.142857142857142
db0c2Z4p.png,lampung,train,1074,575,PNG,page,3.0,2.0,0.5167314720657116,,,,1019,575,17.0,254,0.2782608695652174,4.730434782608696,3.3529411764705883
1zxp9geQ.jpg,jawa,train,1200,675,JPEG,page,1.0,1.0,0.8977517344808489,,,,993,619,18.0,339,0.25848142164781907,4.652665589660743,3.1666666666666665
nGhp8rvR.jpg,lontara,train,528,800,JPEG,page,4.0,4.0,0.9237935208377586,,,,528,800,17.0,209,0.2,3.4000000000000004,3.3529411764705883
cM7aMsIP.jpg,jawa,train,1024,543,JPEG,page,1.0,1.0,0.8852654124892513,,,,1024,543,24.5,192,0.2946593001841621,7.219152854511971,2.326530612244898
4rzA2cl1.jpg,bali,train,1706,960,JPEG,page,0.0,0.0,0.8968878364093102,,,,1282,960,11.0,69,0.16666666666666666,1.8333333333333333,5.181818181818182
tviyv7W0.jpg,lampung,train,970,544,JPEG,page,3.0,3.0,0.916031198827102,,,,970,187,118.0,6,0.6597938144329897,77.85567010309278,0.4830508474576271
IcMQ729U.jpg,bali,train,480,360,JPEG,page,0.0,0.0,0.9247294796559312,,,,439,265,28.0,57,0.6037735849056604,16.90566037735849,2.0357142857142856
KQn86KbN.jpg,bali,train,503,856,JPEG,page,1.0,0.0,0.2488891819968223,,,,503,856,11.0,256,0.18691588785046728,2.05607476635514,5.181818181818182
A86cbI0P.png,sunda,train,300,282,PNG,page,6.0,5.0,0.8483087374809211,,,,300,282,7.0,244,0.5673758865248227,3.9716312056737593,8.142857142857142
qr0Dsa4r.png,jawa,train,700,730,PNG,page,1.0,1.0,0.8829613297164272,,,,700,730,9.0,804,0.2191780821917808,1.9726027397260273,6.333333333333333
wBLg71Yy.png,lontara,train,2000,1600,PNG,page,4.0,4.0,0.7969480095555701,,,,2000,1600,29.0,308,0.1,2.9000000000000004,1.9655172413793103
fuuZiyNB.jpg,lontara,train,433,616,JPEG,page,4.0,4.0,0.928466682115401,,,,433,616,18.0,107,0.2597402597402597,4.675324675324675,3.1666666666666665
MuR7rzdl.jpg,jawa,train,1654,2340,JPEG,page,1.0,4.0,0.3162927353633031,,,,1654,2340,21.5,381,0.06837606837606838,1.4700854700854702,2.6511627906976742
tVLTxNyb.jpg,pegon,train,561,561,JPEG,page,2.0,2.0,0.8215443024509529,,,,561,561,7.0,515,0.28520499108734404,1.9964349376114083,8.142857142857142
Pn2o0YTT.jpg,jawa,train,565,514,JPEG,page,1.0,1.0,0.8953182728204934,,,,565,514,22.0,184,0.311284046692607,6.848249027237355,2.590909090909091
aN9eOSXS.jpg,jawi,train,768,1024,JPEG,page,2.0,2.0,0.8608970703806537,,,,665,716,10.0,619,0.22346368715083798,2.2346368715083798,5.7
mX6JeAay.jpg,lontara,train,572,481,JPEG,page,4.0,4.0,0.9221696635897548,,,,566,481,12.5,153,0.33264033264033266,4.158004158004158,4.56
5ghxWNyR.jpg,jawa,train,585,329,JPEG,page,1.0,1.0,0.8965284216940832,,,,501,329,34.0,66,0.48632218844984804,16.534954407294833,1.6764705882352942
HSPlRvu6.jpg,lontara,train,355,259,JPEG,page,4.0,4.0,0.9077954178018413,,,,355,219,11.0,95,0.730593607305936,8.036529680365296,5.181818181818182
Ymh2tbFw.png,bali,train,864,864,PNG,page,0.0,0.0,0.9253907865543896,,,,570,496,,0,0.3225806451612903,,
7aDRp8vj.jpg,jawa,train,480,675,JPEG,page,1.0,1.0,0.9043355367337343,,,,480,675,34.0,70,0.23703703703703705,8.05925925925926,1.6764705882352942
WWCrZrGd.jpg,bali,train,1200,800,JPEG,page,1.0,1.0,0.8118945267124892,,,,1200,800,5.0,110,0.2,1.0,11.4
EAumamZe.jpg,jawi,train,1024,683,JPEG,page,5.0,5.0,0.9318316007343171,,,,1024,683,7.0,287,0.2342606149341142,1.6398243045387995,8.142857142857142
Qf2P4kf8.png,lontara,train,1160,676,PNG,page,4.0,4.0,0.6787077984073516,,,,587,405,,0,0.3950617283950617,,
QNEvz4dm.jpg,pegon,train,820,457,JPEG,page,5.0,5.0,0.9365838434364534,,,,820,457,7.0,52,0.350109409190372,2.450765864332604,8.142857142857142
lkZUfCn0.jpg,jawa,train,954,397,JPEG,page,1.0,1.0,0.881232602618345,,,,921,374,6.0,119,0.42780748663101603,2.5668449197860963,9.5
POApg2ai.png,sunda,train,640,404,PNG,page,1.0,5.0,0.3364924282410688,,,,640,404,6.0,9,0.39603960396039606,2.3762376237623766,9.5
zOMPhDUE.jpg,lampung,train,2192,1231,JPEG,page,3.0,2.0,0.2478011889326028,,,,2189,1231,63.0,78,0.12997562956945571,8.18846466287571,0.9047619047619048
WCHCFDE6.jpg,jawi,train,1024,766,JPEG,page,2.0,1.0,0.3853169173322234,,,,1024,713,10.0,537,0.2244039270687237,2.244039270687237,5.7
aaGL9ufc.jpg,sunda,train,650,488,JPEG,page,6.0,6.0,0.901699383848308,,,,600,472,30.0,121,0.3389830508474576,10.169491525423728,1.9
y0uFaJnx.png,jawa,train,1200,1200,PNG,page,1.0,1.0,0.5623862229458523,,,,862,1006,24.0,117,0.15904572564612326,3.817097415506958,2.375
hf1aJZJs.jpg,jawa,train,1080,589,JPEG,page,1.0,1.0,0.882099592181416,,,,1080,574,32.0,423,0.2787456445993031,8.9198606271777,1.78125
lUuAU6E8.jpg,jawi,train,830,468,JPEG,page,5.0,5.0,0.9367419847854636,,,,792,468,14.0,534,0.3418803418803419,4.786324786324786,4.071428571428571
W0b6uSzZ.jpg,jawa,train,800,800,JPEG,page,1.0,3.0,0.328599668749601,,,,800,800,11.0,84,0.2,2.2,5.181818181818182
slg7fj6Y.jpg,lampung,train,566,472,JPEG,page,3.0,3.0,0.9186450707543388,,,,566,472,14.0,202,0.3389830508474576,4.745762711864407,4.071428571428571
FSeTEL4D.jpg,sunda,train,2056,2704,JPEG,page,1.0,5.0,0.5435636732193115,,,,2056,2704,9.0,938,0.05917159763313609,0.5325443786982248,6.333333333333333
T5Q9z9Eg.jpg,sunda,train,768,1024,JPEG,page,3.0,1.0,0.3335018127629812,,,,511,898,13.0,276,0.17817371937639198,2.316258351893096,4.384615384615385
05E6cN2H.jpg,bali,train,696,464,JPEG,page,0.0,0.0,0.9275309543609596,,,,493,404,24.0,46,0.39603960396039606,9.504950495049506,2.375
