pair,public_frac,q,mean_delta,sd,observed,z
v2->v3,0.3,0.0,-0.044831766287415045,0.009310418315111507,-0.024370000000000003,2.1977279210112464
v2->v3,0.3,0.1,-0.037178367043026024,0.010853828477689075,-0.024370000000000003,1.180078261726234
v2->v3,0.3,0.2,-0.026667693110235043,0.011315567255260306,-0.024370000000000003,0.2030559368702354
v2->v3,0.3,0.3,-0.01629328724940235,0.01079429417620935,-0.024370000000000003,-0.748239080643063
v2->v3,0.3,0.4,-0.0073454534974871245,0.012678350890329896,-0.024370000000000003,-1.3428044900932612
v2->v3,0.3,0.5,0.003288931837090411,0.011562950542977849,-0.024370000000000003,-2.3920306269828004
v2->v3,0.3,0.6,0.012468686988481404,0.012372472155018537,-0.024370000000000003,-2.9774718040920263
v2->v3,0.3,0.7,0.02283591543312741,0.012705516596343279,-0.024370000000000003,-3.7153873339328483
v2->v3,0.3,0.8,0.030211047838601804,0.011308875635199176,-0.024370000000000003,-4.826390314941376
v2->v3,0.3,0.9,0.04141379748548333,0.010007898418996297,-0.024370000000000003,-6.573187969276057
v2->v3,0.3,1.0,0.05008598918461433,0.009986470866840897,-0.024370000000000003,-7.455685815079898
v2->v3,0.5,0.0,-0.0460926915558384,0.007285670396665832,-0.024370000000000003,2.9815638607230204
v2->v3,0.5,0.1,-0.03672251110867026,0.007874097562540226,-0.024370000000000003,1.5687526107671532
v2->v3,0.5,0.2,-0.026764352407620418,0.008342737742237831,-0.024370000000000003,0.2869984028741819
v2->v3,0.5,0.3,-0.017097265268285734,0.008998533021461804,-0.024370000000000003,-0.8082133737097538
v2->v3,0.5,0.4,-0.007628867260627749,0.008587870306954331,-0.024370000000000003,-1.9493928227834938
v2->v3,0.5,0.5,0.0027508821453807457,0.008275670972295425,-0.024370000000000003,-3.2771822654832086
v2->v3,0.5,0.6,0.011393649639081916,0.008863646392984821,-0.024370000000000003,-4.034868727094895
v2->v3,0.5,0.7,0.02096893549243344,0.008771226134171448,-0.024370000000000003,-5.1690533112354045
v2->v3,0.5,0.8,0.03116812380948601,0.008655072200906064,-0.024370000000000003,-6.416829637038956
v2->v3,0.5,0.9,0.03940545501217092,0.007568946123987978,-0.024370000000000003,-8.425935918614847
v2->v3,0.5,1.0,0.049691045163081204,0.006062354777672161,-0.024370000000000003,-12.21654750986371
v2->v3,1.0,0.0,-0.04532893246572045,0.0021210837230859836,-0.024370000000000003,9.881237707687989
v2->v3,1.0,0.1,-0.03556447628540559,0.003988053458307775,-0.024370000000000003,2.807002564643572
v2->v3,1.0,0.2,-0.02655310665021254,0.005732745734948901,-0.024370000000000003,0.3808134445774432
v2->v3,1.0,0.3,-0.016797275239419592,0.006116749511912718,-0.024370000000000003,-1.2380308766661277
v2->v3,1.0,0.4,-0.006206127756825252,0.006734804096885486,-0.024370000000000003,-2.6970156788338717
v2->v3,1.0,0.5,0.002164086759601166,0.0062642844002113035,-0.024370000000000003,-4.235773005246399
v2->v3,1.0,0.6,0.011569960538326469,0.0070867987996070594,-0.024370000000000003,-5.071395640626799
v2->v3,1.0,0.7,0.02197309314353419,0.00540192390764672,-0.024370000000000003,-8.578997767431154
v2->v3,1.0,0.8,0.031179753986671225,0.0050075169376937335,-0.024370000000000003,-11.093273308478366
v2->v3,1.0,0.9,0.03988027052029665,0.0038959511146645694,-0.024370000000000003,-16.491549464893225
v2->v3,1.0,1.0,0.04961938490191254,0.0002041291586433983,-0.024370000000000003,-362.4635764612525
v1->v2,0.3,0.0,-0.07708820451990668,0.01265866291967564,0.05224999999999991,10.217366979483538
v1->v2,0.3,0.1,-0.058916777389302614,0.013929707872591356,0.05224999999999991,7.980553390357788
v1->v2,0.3,0.2,-0.04232118573791272,0.01508311860214368,0.05224999999999991,6.270002128370969
v1->v2,0.3,0.3,-0.02546863080589125,0.015485728025728587,0.05224999999999991,5.01872631863135
v1->v2,0.3,0.4,-0.010659178006065886,0.017147324252893732,0.05224999999999991,3.6687460433046533
v1->v2,0.3,0.5,0.006027701305477156,0.014873814353487703,0.05224999999999991,3.10762912565762
v1->v2,0.3,0.6,0.023191366722559507,0.017302535092058924,0.05224999999999991,1.6794436839938554
v1->v2,0.3,0.7,0.03914453053550411,0.015553579332466039,0.05224999999999991,0.842601512125242
v1->v2,0.3,0.8,0.054965066828447165,0.012950392240485872,0.05224999999999991,-0.209651320054951
v1->v2,0.3,0.9,0.07022246378873044,0.015100957723202184,0.05224999999999991,-1.1901539040213565
v1->v2,0.3,1.0,0.08527769869340635,0.012878231756230497,0.05224999999999991,-2.5646144065878933
v1->v2,0.5,0.0,-0.07620045170943053,0.008833575298448993,0.05224999999999991,14.541162255330962
v1->v2,0.5,0.1,-0.059361288195512736,0.010079871829480143,0.05224999999999991,11.072689224984803
v1->v2,0.5,0.2,-0.04244183575815568,0.010695555621552229,0.05224999999999991,8.853381638944075
v1->v2,0.5,0.3,-0.028087134131656342,0.011907618089604017,0.05224999999999991,6.746700601843691
v1->v2,0.5,0.4,-0.010606589933504515,0.011520521933832947,0.05224999999999991,5.456054013395871
v1->v2,0.5,0.5,0.0035442871772920284,0.011942841400521235,0.05224999999999991,4.078234918248363
v1->v2,0.5,0.6,0.019621203211532184,0.012558860616177498,0.05224999999999991,2.5980698238212354
v1->v2,0.5,0.7,0.03752570210300127,0.01109456872364877,0.05224999999999991,1.3271627103100343
v1->v2,0.5,0.8,0.054293874818016806,0.011037796532846571,0.05224999999999991,-0.18517054666977062
v1->v2,0.5,0.9,0.0707954472127119,0.009690996698301969,0.05224999999999991,-1.9136780034154257
v1->v2,0.5,1.0,0.08516059555948607,0.007966850097159585,0.05224999999999991,-4.130941985618602
v1->v2,1.0,0.0,-0.07570328886802766,0.0027797127166839177,0.05224999999999991,46.031119726886935
v1->v2,1.0,0.1,-0.059363749463931276,0.005188510195264418,0.05224999999999991,21.511714396514375
v1->v2,1.0,0.2,-0.04314775798168412,0.007904964199404656,0.05224999999999991,12.068082229754904
v1->v2,1.0,0.3,-0.027981588988497758,0.008372708081399212,0.05224999999999991,9.582513591598874
v1->v2,1.0,0.4,-0.011083955313734153,0.008256174037787552,0.05224999999999991,7.671102259213757
v1->v2,1.0,0.5,0.00508505046063047,0.008682461801530554,0.05224999999999991,5.432209276297091
v1->v2,1.0,0.6,0.022689017319038704,0.00791101872794608,0.05224999999999991,3.7366847049085488
v1->v2,1.0,0.7,0.036433041972187455,0.007752427566162355,0.05224999999999991,2.040258730936101
v1->v2,1.0,0.8,0.054099358312582856,0.006847413637854911,0.05224999999999991,-0.27008129059986163
v1->v2,1.0,0.9,0.06982545595214337,0.0050146307882712295,0.05224999999999991,-3.5048354892349955
v1->v2,1.0,1.0,0.08567248430529033,0.0003765073416345173,0.05224999999999991,-88.76980767544832
