ctype,cls,train_type_share,v2_pred,EM,BBSE
line,bali,11.3,8.7,8.2,8.7
line,jawa,21.9,20.0,20.2,20.2
line,jawi,19.4,16.2,14.9,15.4
line,lampung,16.2,24.5,24.7,24.5
line,lontara,13.5,11.8,11.4,11.7
line,pegon,2.4,4.8,7.0,5.6
line,sunda,15.4,14.1,13.6,14.1
block,bali,10.8,5.5,4.7,5.6
block,jawa,8.1,6.7,7.6,6.7
block,jawi,17.1,5.5,4.8,4.3
block,lampung,3.7,3.7,3.7,3.6
block,lontara,0.7,0.0,0.0,0.0
block,pegon,46.7,69.9,70.6,71.2
block,sunda,13.0,8.6,8.6,8.5
glyph,bali,1.8,0.0,0.1,0.0
glyph,jawa,1.2,0.0,0.0,0.0
glyph,jawi,41.7,19.6,0.9,17.0
glyph,lampung,0.3,2.2,6.0,2.2
glyph,lontara,0.0,0.0,27.8,0.0
glyph,pegon,4.2,10.9,11.3,12.7
glyph,sunda,50.8,67.4,53.9,68.1
page,bali,13.6,11.7,12.0,13.2
page,jawa,23.1,26.0,26.2,21.3
page,jawi,11.6,11.7,11.6,13.0
page,lampung,15.1,16.0,16.1,15.6
page,lontara,10.1,10.7,11.0,10.7
page,pegon,18.6,18.0,17.2,15.0
page,sunda,8.0,6.0,5.9,11.1
