h,w,band_px,band_frac,bar_frac,rep_frac,pp_h,pp_w,pp_aspect,set
61,1424,47,0.7704918032786885,0.22950819672131148,0.19672131147540983,52,1280,24.615384615384617,test_lowconf
59,1410,39,0.6610169491525424,0.3389830508474576,0.0,59,1404,23.796610169491526,test_lowconf
56,1447,56,1.0,0.0,0.0,56,1266,22.607142857142858,test_lowconf
47,929,21,0.44680851063829785,0.5531914893617021,0.5319148936170213,47,929,19.76595744680851,test_lowconf
70,831,65,0.9285714285714286,0.07142857142857142,0.04285714285714286,70,828,11.82857142857143,test_lowconf
45,795,40,0.8888888888888888,0.1111111111111111,0.06666666666666667,45,795,17.666666666666668,test_lowconf
40,827,40,1.0,0.0,0.0,40,768,19.2,test_lowconf
42,949,33,0.7857142857142857,0.21428571428571427,0.0,40,945,23.625,test_lowconf
49,952,30,0.6122448979591837,0.3877551020408163,0.3469387755102041,49,952,19.428571428571427,test_lowconf
38,901,34,0.8947368421052632,0.10526315789473684,0.07894736842105263,37,744,20.10810810810811,test_lowconf
63,461,53,0.8412698412698413,0.0,0.06349206349206349,63,279,4.428571428571429,test_lowconf
64,1446,38,0.59375,0.40625,0.0,41,1446,35.26829268292683,test_lowconf
53,937,33,0.6226415094339622,0.37735849056603776,0.3584905660377358,53,937,17.67924528301887,test_lowconf
34,949,11,0.3235294117647059,0.6764705882352942,0.0,13,858,66.0,test_lowconf
72,855,49,0.6805555555555556,0.3194444444444444,0.2916666666666667,51,855,16.764705882352942,test_lowconf
56,861,37,0.6607142857142857,0.3392857142857143,0.32142857142857145,40,604,15.1,test_lowconf
58,1539,54,0.9310344827586207,0.0,0.05172413793103448,58,1345,23.189655172413794,test_lowconf
82,840,77,0.9390243902439024,0.06097560975609756,0.036585365853658534,82,764,9.317073170731707,test_lowconf
34,665,34,1.0,0.0,0.0,34,541,15.911764705882353,test_lowconf
45,801,39,0.8666666666666667,0.13333333333333333,0.1111111111111111,45,795,17.666666666666668,test_lowconf
47,806,46,0.9787234042553191,0.0,0.0,44,804,18.272727272727273,test_lowconf
86,792,86,1.0,0.0,0.0,86,739,8.593023255813954,test_lowconf
84,580,84,1.0,0.0,0.0,84,571,6.7976190476190474,test_lowconf
54,1399,54,1.0,0.0,0.0,54,1308,24.22222222222222,test_lowconf
56,947,46,0.8214285714285714,0.17857142857142858,0.16071428571428573,56,947,16.910714285714285,test_lowconf
75,161,47,0.6266666666666667,0.0,0.22666666666666666,66,136,2.0606060606060606,test_lowconf
43,682,40,0.9302325581395349,0.0,0.046511627906976744,43,601,13.976744186046512,test_lowconf
68,872,24,0.35294117647058826,0.19117647058823528,0.25,68,872,12.823529411764707,test_lowconf
53,1004,29,0.5471698113207547,0.4528301886792453,0.4339622641509434,31,993,32.03225806451613,test_lowconf
59,662,32,0.5423728813559322,0.4576271186440678,0.423728813559322,34,657,19.323529411764707,test_lowconf
61,1408,57,0.9344262295081968,0.06557377049180328,0.01639344262295082,61,1338,21.934426229508198,test_lowconf
90,384,90,1.0,0.0,0.0,90,364,4.044444444444444,test_lowconf
53,932,43,0.8113207547169812,0.18867924528301888,0.16981132075471697,42,932,22.19047619047619,test_lowconf
63,1367,47,0.746031746031746,0.25396825396825395,0.23809523809523808,51,1364,26.745098039215687,test_lowconf
69,836,69,1.0,0.0,0.0,69,729,10.565217391304348,test_lowconf
67,1126,51,0.7611940298507462,0.208955223880597,0.1791044776119403,58,1108,19.103448275862068,test_lowconf
58,890,56,0.9655172413793104,0.034482758620689655,0.017241379310344827,58,848,14.620689655172415,test_lowconf
42,158,41,0.9761904761904762,0.0,0.0,42,158,3.761904761904762,test_lowconf
52,942,36,0.6923076923076923,0.0,0.15384615384615385,52,750,14.423076923076923,test_lowconf
73,833,63,0.863013698630137,0.136986301369863,0.1232876712328767,68,819,12.044117647058824,test_lowconf
67,203,30,0.44776119402985076,0.0,0.208955223880597,60,181,3.0166666666666666,test_conf>0.9
48,1444,48,1.0,0.0,0.0,48,1372,28.583333333333332,test_conf>0.9
84,249,58,0.6904761904761905,0.0,0.19047619047619047,84,232,2.761904761904762,test_conf>0.9
56,1542,56,1.0,0.0,0.0,56,1433,25.589285714285715,test_conf>0.9
45,149,29,0.6444444444444445,0.0,0.1111111111111111,45,149,3.311111111111111,test_conf>0.9
48,941,48,1.0,0.0,0.0,48,274,5.708333333333333,test_conf>0.9
54,942,46,0.8518518518518519,0.0,0.12962962962962962,49,864,17.632653061224488,test_conf>0.9
47,308,36,0.7659574468085106,0.0,0.0,47,293,6.23404255319149,test_conf>0.9
39,108,33,0.8461538461538461,0.0,0.1282051282051282,34,94,2.764705882352941,test_conf>0.9
43,126,43,1.0,0.0,0.0,43,126,2.9302325581395348,test_conf>0.9
56,1400,56,1.0,0.0,0.0,56,1304,23.285714285714285,test_conf>0.9
80,794,80,1.0,0.0,0.0,80,752,9.4,test_conf>0.9
71,791,50,0.704225352112676,0.0,0.22535211267605634,59,768,13.016949152542374,test_conf>0.9
39,84,36,0.9230769230769231,0.0,0.02564102564102564,39,81,2.076923076923077,test_conf>0.9
77,190,41,0.5324675324675324,0.0,0.2077922077922078,74,155,2.0945945945945947,test_conf>0.9
53,877,53,1.0,0.0,0.0,53,843,15.90566037735849,test_conf>0.9
224,920,95,0.42410714285714285,0.0,0.48214285714285715,173,860,4.971098265895954,test_conf>0.9
40,146,40,1.0,0.0,0.0,35,130,3.7142857142857144,test_conf>0.9
83,225,69,0.8313253012048193,0.0,0.0,83,217,2.6144578313253013,test_conf>0.9
78,895,78,1.0,0.0,0.0,78,868,11.128205128205128,test_conf>0.9
32,932,32,1.0,0.0,0.0,32,894,27.9375,test_conf>0.9
57,866,57,1.0,0.0,0.0,57,787,13.807017543859649,test_conf>0.9
30,829,30,1.0,0.0,0.0,30,792,26.4,test_conf>0.9
59,1401,59,1.0,0.0,0.0,59,1304,22.10169491525424,test_conf>0.9
84,393,84,1.0,0.0,0.0,84,385,4.583333333333333,test_conf>0.9
128,289,14,0.109375,0.0,0.0703125,121,278,2.2975206611570247,test_conf>0.9
61,144,27,0.4426229508196721,0.0,0.5245901639344263,36,122,3.388888888888889,test_conf>0.9
62,860,60,0.967741935483871,0.0,0.016129032258064516,62,755,12.17741935483871,test_conf>0.9
46,621,46,1.0,0.0,0.0,46,481,10.456521739130435,test_conf>0.9
36,108,30,0.8333333333333334,0.0,0.1388888888888889,34,95,2.7941176470588234,test_conf>0.9
36,146,36,1.0,0.0,0.0,36,146,4.055555555555555,test_conf>0.9
67,948,44,0.6567164179104478,0.0,0.1791044776119403,44,897,20.386363636363637,test_conf>0.9
31,127,31,1.0,0.0,0.0,31,127,4.096774193548387,test_conf>0.9
71,891,71,1.0,0.0,0.0,71,844,11.887323943661972,test_conf>0.9
69,766,69,1.0,0.0,0.0,69,545,7.898550724637682,test_conf>0.9
47,276,47,1.0,0.0,0.0,47,255,5.425531914893617,test_conf>0.9
42,146,42,1.0,0.0,0.0,42,146,3.4761904761904763,test_conf>0.9
65,783,65,1.0,0.0,0.0,65,764,11.753846153846155,test_conf>0.9
26,80,26,1.0,0.0,0.0,26,76,2.923076923076923,test_conf>0.9
58,124,58,1.0,0.0,0.0,54,105,1.9444444444444444,test_conf>0.9
