,precision,recall,f1-score,support
bali,0.9736842105263158,0.9367088607594937,0.9548387096774194,79.0
jawa,0.9586206896551724,0.9858156028368794,0.972027972027972,141.0
jawi,0.9808917197452229,0.9871794871794872,0.9840255591054313,156.0
lampung,0.9803921568627451,0.9900990099009901,0.9852216748768473,101.0
lontara,1.0,0.9876543209876543,0.9937888198757764,81.0
pegon,0.967741935483871,0.967741935483871,0.967741935483871,62.0
sunda,0.9849624060150376,0.9703703703703703,0.9776119402985075,135.0
accuracy,0.9774834437086093,0.9774834437086093,0.9774834437086093,0.9774834437086093
macro avg,0.978041874041195,0.9750813696455352,0.9764652301922607,755.0
weighted avg,0.9776095507395766,0.9774834437086093,0.9774544170247754,755.0
