,precision,recall,f1-score,support
bali,0.991869918699187,0.997275204359673,0.9945652173913043,367.0
jawa,0.9983766233766234,0.9418070444104135,0.9692671394799054,653.0
jawi,0.9523241954707986,0.9815724815724816,0.9667271627344223,814.0
lampung,0.9951573849878934,1.0,0.9975728155339806,822.0
lontara,1.0,0.9947643979057592,0.9973753280839895,382.0
pegon,0.9754838709677419,0.980544747081712,0.9780077619663649,771.0
sunda,0.9879154078549849,0.993920972644377,0.990909090909091,658.0
accuracy,0.9832102081934184,0.9832102081934184,0.9832102081934184,0.9832102081934184
macro avg,0.9858753430510327,0.9842692639963452,0.9849177880141511,4467.0
weighted avg,0.9835043348299807,0.9832102081934184,0.9831916685292301,4467.0
