,precision,recall,f1-score,support
bali,0.9897435897435898,0.9747474747474747,0.9821882951653944,396.0
jawa,0.9787535410764873,0.9829302987197724,0.9808374733853797,703.0
jawi,0.9595448798988622,0.971830985915493,0.9656488549618321,781.0
lampung,0.9880715705765407,0.9841584158415841,0.9861111111111112,505.0
lontara,0.9803921568627451,0.9900990099009901,0.9852216748768473,404.0
pegon,0.9288025889967637,0.9288025889967637,0.9288025889967637,309.0
sunda,0.9924698795180723,0.9791976225854383,0.9857890800299177,673.0
accuracy,0.9756032882524529,0.9756032882524529,0.9756032882524529,0.9756032882524529
macro avg,0.9739683152390086,0.9731094852439309,0.9735141540753208,3771.0
weighted avg,0.9757076519611796,0.9756032882524529,0.9756294836971894,3771.0
