,precision,recall,f1-score,support
bali,0.9675,0.9772727272727273,0.9723618090452262,396.0
jawa,0.994277539341917,0.9886201991465149,0.9914407988587732,703.0
jawi,0.9522613065326633,0.970550576184379,0.9613189600507293,781.0
lampung,0.9823182711198428,0.9900990099009901,0.9861932938856016,505.0
lontara,0.9924812030075187,0.9801980198019802,0.9863013698630136,404.0
pegon,0.9528619528619529,0.9158576051779935,0.933993399339934,309.0
sunda,0.9880774962742176,0.9851411589895989,0.9866071428571429,673.0
accuracy,0.9763988332007425,0.9763988332007425,0.9763988332007425,0.9763988332007425
macro avg,0.9756825384483018,0.9725341852105976,0.9740309677000601,3771.0
weighted avg,0.9764695894767509,0.9763988332007425,0.9763755502930337,3771.0
