,precision,recall,f1-score,support
bali,0.9972826086956522,1.0,0.998639455782313,367.0
jawa,0.9967532467532467,0.9402756508422665,0.9676910953506698,653.0
jawi,0.9637681159420289,0.9803439803439803,0.9719853836784409,814.0
lampung,0.9951573849878934,1.0,0.9975728155339806,822.0
lontara,1.0,0.9947643979057592,0.9973753280839895,382.0
pegon,0.9680715197956578,0.9831387808041504,0.9755469755469756,771.0
sunda,0.987987987987988,1.0,0.9939577039274925,658.0
accuracy,0.9843295276471905,0.9843295276471905,0.9843295276471905,0.9843295276471905
macro avg,0.9870029805946381,0.9855032585565937,0.9861098225576945,4467.0
weighted avg,0.9845284177785052,0.9843295276471905,0.98427852806769,4467.0
