,precision,recall,f1-score,support
bali,0.9972826086956522,1.0,0.998639455782313,367.0
jawa,0.998422712933754,0.9693721286370597,0.9836829836829837,653.0
jawi,0.9722891566265061,0.9914004914004914,0.9817518248175182,814.0
lampung,0.9951573849878934,1.0,0.9975728155339806,822.0
lontara,1.0,0.9947643979057592,0.9973753280839895,382.0
pegon,0.9869281045751634,0.9792477302204928,0.9830729166666666,771.0
sunda,0.9879518072289156,0.9969604863221885,0.9924357034795764,658.0
accuracy,0.9894783971345422,0.9894783971345422,0.9894783971345422,0.9894783971345422
macro avg,0.991147396435412,0.9902493192122845,0.990647289721004,4467.0
weighted avg,0.9895745132471787,0.9894783971345422,0.9894707399496606,4467.0
